"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Edit skill csv file","1","0","","0"
"0","","0","Skill Creation","1","0","","0"
"0","","0","Create Domain","1","0","","0"
"0","","0","Delete Level","1","0","","0"
"0","","0","Delete single skill line","1","0","","0"
"0","","0","Delete Skill","1","0","","0"
"0","","0","Delete skill csv file","1","0","","0"
"0","","0","Developer Setting","1","0","","0"
"0","","0","Edit Skill","1","0","","0"
"0","","1","Validate information in the excel","0","0","","0"
"0","","0","Organization Settings","1","0","","0"
