"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32067","Should edit skill csv file","","Thu Apr 17 13:12:50 GMT 2025","passed","Thu Apr 17 13:13:22 GMT 2025","","Edit skill csv file","",""
"","15438","Should create a skill.","","Thu Apr 17 13:20:55 GMT 2025","passed","Thu Apr 17 13:21:10 GMT 2025","","Skill Creation","",""
"","17283","Should create a domain","","Thu Apr 17 13:15:51 GMT 2025","passed","Thu Apr 17 13:16:08 GMT 2025","","Create Domain","",""
"","11552","Should delete level.","","Thu Apr 17 13:18:36 GMT 2025","passed","Thu Apr 17 13:18:47 GMT 2025","","Delete Level","",""
"","33044","Should delete single detain from the skill csv file","","Thu Apr 17 13:10:49 GMT 2025","passed","Thu Apr 17 13:11:22 GMT 2025","","Delete single skill line","",""
"","12355","Should delete a skill.","","Thu Apr 17 13:19:08 GMT 2025","passed","Thu Apr 17 13:19:20 GMT 2025","","Delete Skill","",""
"","23636","Should delete skill when uploading csv file","","Thu Apr 17 13:11:54 GMT 2025","passed","Thu Apr 17 13:12:18 GMT 2025","","Delete skill csv file","",""
"","14037","should generate API Keys","","Thu Apr 17 13:10:04 GMT 2025","passed","Thu Apr 17 13:10:18 GMT 2025","","Developer Setting","",""
"","13885","Should edit skill.","","Thu Apr 17 13:19:42 GMT 2025","passed","Thu Apr 17 13:19:56 GMT 2025","","Edit Skill","",""
"","82658","Should validate information in the excel","","Thu Apr 17 13:13:55 GMT 2025","failed","Thu Apr 17 13:15:18 GMT 2025","","Validate information in the excel","",""
"","15590","Should update existing organization","","Thu Apr 17 13:09:24 GMT 2025","passed","Thu Apr 17 13:09:40 GMT 2025","","Organization Settings","",""
